                    ************************************************************************************************
                    *  Z= 28 A= 62: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 62 and ldmodel= 1  *
   2.25  0.551  8.10E+00 6.42E+00 2.97E+01 9.08E-01 2.03E+00 1.88E+00 1.09E+00 4.35E-01 1.22E-01 2.49E-02 3.68E-03 3.99E-04 3.18E-05 1.87E-06 8.13E-08 2.61E-09 6.23E-11 1.10E-12 1.44E-14 1.41E-16 1.02E-18 5.47E-21 2.19E-23 6.50E-26 1.44E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.50  0.581  1.00E+01 7.59E+00 3.51E+01 1.07E+00 2.40E+00 2.23E+00 1.29E+00 5.14E-01 1.45E-01 2.94E-02 4.36E-03 4.72E-04 3.76E-05 2.21E-06 9.61E-08 3.09E-09 7.36E-11 1.30E-12 1.71E-14 1.66E-16 1.20E-18 6.46E-21 2.59E-23 7.69E-26 1.70E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.75  0.610  1.22E+01 8.97E+00 4.15E+01 1.27E+00 2.84E+00 2.63E+00 1.53E+00 6.07E-01 1.71E-01 3.48E-02 5.15E-03 5.58E-04 4.45E-05 2.62E-06 1.14E-07 3.65E-09 8.70E-11 1.54E-12 2.02E-14 1.96E-16 1.42E-18 7.64E-21 3.06E-23 9.09E-26 2.01E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.00  0.637  1.49E+01 1.06E+01 4.91E+01 1.50E+00 3.36E+00 3.11E+00 1.81E+00 7.18E-01 2.02E-01 4.11E-02 6.09E-03 6.60E-04 5.26E-05 3.09E-06 1.34E-07 4.32E-09 1.03E-10 1.82E-12 2.38E-14 2.32E-16 1.68E-18 9.04E-21 3.61E-23 1.07E-25 2.38E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.25  0.663  1.80E+01 1.25E+01 5.80E+01 1.77E+00 3.97E+00 3.68E+00 2.13E+00 8.49E-01 2.39E-01 4.86E-02 7.20E-03 7.80E-04 6.22E-05 3.66E-06 1.59E-07 5.11E-09 1.22E-10 2.15E-12 2.82E-14 2.75E-16 1.99E-18 1.07E-20 4.27E-23 1.27E-25 2.81E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.688  2.17E+01 1.48E+01 7.08E+01 1.97E+00 4.49E+00 4.32E+00 2.65E+00 1.13E+00 3.49E-01 7.92E-02 1.33E-02 1.67E-03 1.57E-04 1.10E-05 5.85E-07 2.34E-08 7.06E-10 1.61E-11 2.77E-13 3.61E-15 3.55E-17 2.65E-19 1.50E-21 6.40E-24 2.07E-26 5.09E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.712  2.61E+01 1.75E+01 8.68E+01 2.17E+00 5.05E+00 5.04E+00 3.27E+00 1.51E+00 5.12E-01 1.30E-01 2.49E-02 3.64E-03 4.05E-04 3.45E-05 2.26E-06 1.13E-07 4.37E-09 1.30E-10 2.97E-12 5.23E-14 7.12E-16 7.46E-18 6.04E-20 3.77E-22 1.82E-24 6.78E-27 1.95E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.735  3.13E+01 2.07E+01 1.06E+02 2.41E+00 5.69E+00 5.87E+00 4.00E+00 1.97E+00 7.27E-01 2.04E-01 4.39E-02 7.31E-03 9.44E-04 9.48E-05 7.43E-06 4.55E-07 2.17E-08 8.14E-10 2.38E-11 5.47E-13 9.85E-15 1.39E-16 1.54E-18 1.34E-20 9.13E-23 4.89E-25 2.06E-27 6.79E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.758  3.74E+01 2.45E+01 1.29E+02 2.68E+00 6.42E+00 6.82E+00 4.86E+00 2.54E+00 1.01E+00 3.08E-01 7.33E-02 1.37E-02 2.02E-03 2.34E-04 2.15E-05 1.57E-06 9.06E-08 4.15E-09 1.51E-10 4.38E-12 1.01E-13 1.85E-15 2.70E-17 3.13E-19 2.90E-21 2.14E-23 1.25E-25 5.87E-28 2.19E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.780  4.47E+01 2.90E+01 1.57E+02 3.00E+00 7.27E+00 7.92E+00 5.86E+00 3.22E+00 1.36E+00 4.50E-01 1.17E-01 2.43E-02 4.02E-03 5.31E-04 5.62E-05 4.77E-06 3.26E-07 1.79E-08 7.90E-10 2.81E-11 8.05E-13 1.86E-14 3.46E-16 5.20E-18 6.30E-20 6.16E-22 4.86E-24 3.10E-26 1.59E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.801  5.32E+01 3.42E+01 1.91E+02 3.35E+00 8.23E+00 9.18E+00 7.03E+00 4.05E+00 1.81E+00 6.41E-01 1.81E-01 4.11E-02 7.53E-03 1.12E-03 1.34E-04 1.31E-05 1.04E-06 6.67E-08 3.50E-09 1.50E-10 5.21E-12 1.48E-13 3.42E-15 6.47E-17 9.97E-19 1.25E-20 1.29E-22 1.08E-24 7.40E-27 4.14E-29 1.00E-30 1.00E-30 1.00E-30
   5.00  0.822  6.33E+01 4.05E+01 2.32E+02 3.77E+00 9.34E+00 1.06E+01 8.40E+00 5.04E+00 2.37E+00 8.94E-01 2.71E-01 6.69E-02 1.34E-02 2.21E-03 2.97E-04 3.28E-05 2.97E-06 2.21E-07 1.35E-08 6.81E-10 2.82E-11 9.65E-13 2.72E-14 6.31E-16 1.21E-17 1.90E-19 2.48E-21 2.66E-23 2.36E-25 1.72E-27 1.04E-29 1.00E-30 1.00E-30
   5.50  0.862  9.16E+01 5.66E+01 3.41E+02 4.79E+00 1.21E+01 1.42E+01 1.19E+01 7.64E+00 3.93E+00 1.65E+00 5.66E-01 1.61E-01 3.79E-02 7.43E-03 1.21E-03 1.66E-04 1.89E-05 1.80E-06 1.44E-07 9.62E-09 5.39E-10 2.54E-11 1.00E-12 3.31E-14 9.17E-16 2.14E-17 4.18E-19 6.86E-21 9.47E-23 1.10E-24 1.07E-26 8.72E-29 1.00E-30
   6.00  0.900  1.31E+02 7.91E+01 4.98E+02 6.13E+00 1.57E+01 1.91E+01 1.66E+01 1.13E+01 6.28E+00 2.87E+00 1.10E+00 3.50E-01 9.41E-02 2.14E-02 4.11E-03 6.68E-04 9.22E-05 1.08E-05 1.08E-06 9.10E-08 6.55E-09 4.01E-10 2.09E-11 9.28E-13 3.51E-14 1.13E-15 3.10E-17 7.24E-19 1.44E-20 2.45E-22 3.54E-24 4.37E-26 4.59E-28
   6.50  0.937  1.86E+02 1.11E+02 7.25E+02 7.91E+00 2.05E+01 2.55E+01 2.31E+01 1.66E+01 9.76E+00 4.81E+00 2.00E+00 7.05E-01 2.12E-01 5.45E-02 1.20E-02 2.27E-03 3.68E-04 5.13E-05 6.15E-06 6.34E-07 5.64E-08 4.31E-09 2.85E-10 1.62E-11 7.94E-13 3.36E-14 1.22E-15 3.85E-17 1.05E-18 2.45E-20 4.95E-22 8.65E-24 1.30E-25
   7.00  0.972  2.64E+02 1.54E+02 1.05E+03 1.03E+01 2.69E+01 3.42E+01 3.19E+01 2.39E+01 1.49E+01 7.80E+00 3.49E+00 1.34E+00 4.44E-01 1.27E-01 3.14E-02 6.73E-03 1.25E-03 2.02E-04 2.84E-05 3.48E-06 3.70E-07 3.43E-08 2.77E-09 1.94E-10 1.19E-11 6.36E-13 2.96E-14 1.20E-15 4.25E-17 1.31E-18 3.53E-20 8.29E-22 1.70E-23
   7.50  1.007  3.72E+02 2.16E+02 1.52E+03 1.34E+01 3.54E+01 4.59E+01 4.40E+01 3.42E+01 2.22E+01 1.23E+01 5.89E+00 2.43E+00 8.74E-01 2.74E-01 7.49E-02 1.79E-02 3.76E-03 6.91E-04 1.11E-04 1.58E-05 1.96E-06 2.14E-07 2.06E-08 1.74E-09 1.29E-10 8.42E-12 4.84E-13 2.45E-14 1.09E-15 4.26E-17 1.47E-18 4.46E-20 1.19E-21
   8.00  1.040  5.22E+02 3.02E+02 2.20E+03 1.76E+01 4.68E+01 6.16E+01 6.05E+01 4.85E+01 3.28E+01 1.91E+01 9.65E+00 4.25E+00 1.64E+00 5.57E-01 1.66E-01 4.38E-02 1.02E-02 2.10E-03 3.81E-04 6.13E-05 8.74E-06 1.10E-06 1.23E-07 1.22E-08 1.07E-09 8.35E-11 5.77E-12 3.53E-13 1.92E-14 9.25E-16 3.96E-17 1.50E-18 5.07E-20
   8.50  1.072  7.33E+02 4.22E+02 3.17E+03 2.31E+01 6.20E+01 8.27E+01 8.30E+01 6.85E+01 4.80E+01 2.91E+01 1.55E+01 7.21E+00 2.96E+00 1.08E+00 3.48E-01 9.99E-02 2.55E-02 5.78E-03 1.17E-03 2.10E-04 3.38E-05 4.84E-06 6.18E-07 7.05E-08 7.18E-09 6.53E-10 5.30E-11 3.84E-12 2.49E-13 1.44E-14 7.47E-16 3.45E-17 1.43E-18
   9.00  1.103  1.03E+03 5.89E+02 4.56E+03 3.05E+01 8.23E+01 1.11E+02 1.14E+02 9.62E+01 6.96E+01 4.39E+01 2.43E+01 1.19E+01 5.18E+00 2.01E+00 6.95E-01 2.15E-01 5.94E-02 1.47E-02 3.26E-03 6.50E-04 1.16E-04 1.86E-05 2.68E-06 3.46E-07 4.02E-08 4.19E-09 3.93E-10 3.31E-11 2.51E-12 1.71E-13 1.05E-14 5.77E-16 2.86E-17
   9.50  1.133  1.44E+03 8.24E+02 6.56E+03 4.04E+01 1.10E+02 1.50E+02 1.56E+02 1.35E+02 1.00E+02 6.53E+01 3.76E+01 1.93E+01 8.83E+00 3.62E+00 1.33E+00 4.40E-01 1.31E-01 3.50E-02 8.45E-03 1.84E-03 3.61E-04 6.40E-05 1.02E-05 1.48E-06 1.93E-07 2.28E-08 2.43E-09 2.34E-10 2.04E-11 1.61E-12 1.15E-13 7.38E-15 4.30E-16
  10.00  1.162  2.02E+03 1.15E+03 9.40E+03 5.36E+01 1.46E+02 2.02E+02 2.13E+02 1.88E+02 1.44E+02 9.64E+01 5.75E+01 3.07E+01 1.47E+01 6.33E+00 2.46E+00 8.63E-01 2.74E-01 7.87E-02 2.05E-02 4.83E-03 1.03E-03 2.00E-04 3.53E-05 5.64E-06 8.18E-07 1.08E-07 1.29E-08 1.40E-09 1.38E-10 1.24E-11 1.01E-12 7.52E-14 5.07E-15
  11.00  1.219  4.26E+03 2.25E+03 1.93E+04 9.52E+01 2.62E+02 3.68E+02 3.99E+02 3.64E+02 2.90E+02 2.05E+02 1.30E+02 7.44E+01 3.85E+01 1.81E+01 7.73E+00 3.01E+00 1.07E+00 3.47E-01 1.03E-01 2.78E-02 6.90E-03 1.56E-03 3.24E-04 6.17E-05 1.07E-05 1.71E-06 2.50E-07 3.34E-08 4.10E-09 4.61E-10 4.75E-11 4.49E-12 3.89E-13
  12.00  1.273  8.66E+03 4.39E+03 3.93E+04 1.70E+02 4.73E+02 6.74E+02 7.46E+02 7.01E+02 5.79E+02 4.28E+02 2.85E+02 1.73E+02 9.53E+01 4.81E+01 2.23E+01 9.46E+00 3.69E+00 1.32E+00 4.37E-01 1.33E-01 3.72E-02 9.59E-03 2.28E-03 5.01E-04 1.01E-04 1.89E-05 3.26E-06 5.19E-07 7.62E-08 1.03E-08 1.29E-09 1.49E-10 1.59E-11
  13.00  1.325  1.72E+04 8.58E+03 8.00E+04 3.07E+02 8.58E+02 1.24E+03 1.39E+03 1.34E+03 1.14E+03 8.76E+02 6.09E+02 3.87E+02 2.26E+02 1.21E+02 6.00E+01 2.74E+01 1.16E+01 4.52E+00 1.63E+00 5.47E-01 1.70E-01 4.89E-02 1.31E-02 3.24E-03 7.44E-04 1.59E-04 3.15E-05 5.80E-06 9.91E-07 1.57E-07 2.32E-08 3.18E-09 4.05E-10
  14.00  1.375  3.40E+04 1.68E+04 1.62E+05 5.57E+02 1.56E+03 2.28E+03 2.61E+03 2.57E+03 2.24E+03 1.77E+03 1.28E+03 8.48E+02 5.18E+02 2.93E+02 1.53E+02 7.46E+01 3.37E+01 1.42E+01 5.53E+00 2.01E+00 6.83E-01 2.16E-01 6.37E-02 1.75E-02 4.49E-03 1.08E-03 2.40E-04 5.01E-05 9.76E-06 1.77E-06 3.01E-07 4.77E-08 7.07E-09
  15.00  1.423  6.68E+04 3.28E+04 3.28E+05 1.02E+03 2.86E+03 4.21E+03 4.89E+03 4.89E+03 4.37E+03 3.55E+03 2.65E+03 1.82E+03 1.16E+03 6.84E+02 3.77E+02 1.93E+02 9.26E+01 4.14E+01 1.73E+01 6.78E+00 2.48E+00 8.51E-01 2.73E-01 8.23E-02 2.32E-02 6.13E-03 1.52E-03 3.53E-04 7.69E-05 1.57E-05 3.01E-06 5.42E-07 9.15E-08
  16.00  1.470  1.31E+05 6.39E+04 6.60E+05 1.87E+03 5.30E+03 7.84E+03 9.20E+03 9.34E+03 8.50E+03 7.05E+03 5.38E+03 3.80E+03 2.50E+03 1.53E+03 8.76E+02 4.69E+02 2.35E+02 1.11E+02 4.88E+01 2.02E+01 7.85E+00 2.87E+00 9.86E-01 3.18E-01 9.67E-02 2.76E-02 7.42E-03 1.88E-03 4.47E-04 1.00E-04 2.11E-05 4.19E-06 7.84E-07
  17.00  1.515  2.54E+05 1.23E+05 1.29E+06 3.47E+03 9.83E+03 1.46E+04 1.73E+04 1.77E+04 1.63E+04 1.37E+04 1.06E+04 7.62E+03 5.11E+03 3.20E+03 1.88E+03 1.03E+03 5.32E+02 2.58E+02 1.18E+02 5.05E+01 2.04E+01 7.75E+00 2.78E+00 9.37E-01 2.98E-01 8.94E-02 2.53E-02 6.74E-03 1.70E-03 4.03E-04 9.01E-05 1.90E-05 3.79E-06
  18.00  1.559  4.86E+05 2.32E+05 2.48E+06 6.32E+03 1.79E+04 2.68E+04 3.18E+04 3.29E+04 3.05E+04 2.60E+04 2.04E+04 1.49E+04 1.02E+04 6.51E+03 3.90E+03 2.19E+03 1.16E+03 5.79E+02 2.72E+02 1.20E+02 5.03E+01 1.98E+01 7.38E+00 2.59E+00 8.59E-01 2.69E-01 7.96E-02 2.23E-02 5.89E-03 1.47E-03 3.47E-04 7.76E-05 1.64E-05
  19.00  1.602  9.16E+05 4.31E+05 4.69E+06 1.13E+04 3.23E+04 4.84E+04 5.78E+04 6.01E+04 5.63E+04 4.84E+04 3.86E+04 2.86E+04 1.98E+04 1.29E+04 7.88E+03 4.53E+03 2.46E+03 1.26E+03 6.06E+02 2.76E+02 1.19E+02 4.84E+01 1.86E+01 6.78E+00 2.33E+00 7.60E-01 2.35E-01 6.85E-02 1.89E-02 4.95E-03 1.23E-03 2.88E-04 6.41E-05
  20.00  1.644  1.70E+06 7.87E+05 8.70E+06 2.01E+04 5.73E+04 8.62E+04 1.03E+05 1.08E+05 1.02E+05 8.88E+04 7.15E+04 5.37E+04 3.78E+04 2.50E+04 1.55E+04 9.12E+03 5.05E+03 2.64E+03 1.31E+03 6.10E+02 2.70E+02 1.13E+02 4.49E+01 1.69E+01 6.02E+00 2.03E+00 6.51E-01 1.98E-01 5.69E-02 1.55E-02 4.03E-03 9.89E-04 2.31E-04
  22.50  1.743  1.01E+07 3.34E+06 3.83E+07 7.96E+04 2.28E+05 3.45E+05 4.18E+05 4.44E+05 4.27E+05 3.78E+05 3.12E+05 2.41E+05 1.75E+05 1.20E+05 7.76E+04 4.74E+04 2.75E+04 1.51E+04 7.87E+03 3.89E+03 1.83E+03 8.16E+02 3.46E+02 1.40E+02 5.35E+01 1.95E+01 6.78E+00 2.24E+00 7.04E-01 2.10E-01 5.99E-02 1.62E-02 4.19E-03
  25.00  1.838  4.30E+07 1.32E+07 1.55E+08 2.95E+05 8.45E+05 1.29E+06 1.57E+06 1.69E+06 1.65E+06 1.49E+06 1.25E+06 9.90E+05 7.38E+05 5.20E+05 3.47E+05 2.20E+05 1.32E+05 7.56E+04 4.11E+04 2.13E+04 1.05E+04 4.94E+03 2.21E+03 9.46E+02 3.85E+02 1.50E+02 5.55E+01 1.96E+01 6.63E+00 2.14E+00 6.58E-01 1.93E-01 5.42E-02
  30.00  2.013  8.87E+08 1.69E+08 2.10E+09 3.40E+06 9.81E+06 1.51E+07 1.87E+07 2.04E+07 2.04E+07 1.89E+07 1.64E+07 1.35E+07 1.04E+07 7.69E+06 5.40E+06 3.61E+06 2.30E+06 1.40E+06 8.15E+05 4.54E+05 2.41E+05 1.23E+05 6.01E+04 2.81E+04 1.26E+04 5.39E+03 2.22E+03 8.74E+02 3.30E+02 1.20E+02 4.15E+01 1.38E+01 4.42E+00
  40.00  2.325  1.59E+11 1.58E+10 2.14E+11 2.72E+08 7.89E+08 1.23E+09 1.55E+09 1.73E+09 1.78E+09 1.71E+09 1.55E+09 1.34E+09 1.09E+09 8.57E+08 6.42E+08 4.61E+08 3.18E+08 2.11E+08 1.34E+08 8.23E+07 4.86E+07 2.76E+07 1.51E+07 7.96E+06 4.05E+06 1.98E+06 9.36E+05 4.27E+05 1.87E+05 7.94E+04 3.25E+04 1.28E+04 4.87E+03
  50.00  2.599  8.88E+12 8.72E+11 1.25E+13 1.33E+10 3.86E+10 6.05E+10 7.73E+10 8.80E+10 9.23E+10 9.08E+10 8.46E+10 7.51E+10 6.38E+10 5.19E+10 4.07E+10 3.06E+10 2.22E+10 1.56E+10 1.05E+10 6.88E+09 4.34E+09 2.65E+09 1.56E+09 8.92E+08 4.92E+08 2.63E+08 1.36E+08 6.82E+07 3.31E+07 1.55E+07 7.07E+06 3.12E+06 1.33E+06
  60.00  2.847  3.37E+14 3.29E+13 4.95E+14 4.53E+11 1.32E+12 2.09E+12 2.69E+12 3.09E+12 3.29E+12 3.29E+12 3.13E+12 2.84E+12 2.48E+12 2.08E+12 1.68E+12 1.31E+12 9.85E+11 7.18E+11 5.07E+11 3.46E+11 2.29E+11 1.47E+11 9.17E+10 5.54E+10 3.25E+10 1.85E+10 1.02E+10 5.48E+09 2.85E+09 1.44E+09 7.09E+08 3.39E+08 1.57E+08
  70.00  3.075  9.62E+15 9.28E+14 1.46E+16 1.18E+13 3.45E+13 5.47E+13 7.09E+13 8.23E+13 8.85E+13 8.98E+13 8.66E+13 8.01E+13 7.11E+13 6.09E+13 5.04E+13 4.03E+13 3.13E+13 2.35E+13 1.71E+13 1.21E+13 8.33E+12 5.56E+12 3.61E+12 2.28E+12 1.40E+12 8.35E+11 4.85E+11 2.74E+11 1.51E+11 8.07E+10 4.21E+10 2.13E+10 1.05E+10
  80.00  3.287  2.18E+17 2.09E+16 3.39E+17 2.47E+14 7.25E+14 1.15E+15 1.50E+15 1.76E+15 1.91E+15 1.95E+15 1.91E+15 1.79E+15 1.61E+15 1.41E+15 1.18E+15 9.68E+14 7.68E+14 5.91E+14 4.42E+14 3.22E+14 2.28E+14 1.57E+14 1.05E+14 6.88E+13 4.38E+13 2.72E+13 1.64E+13 9.67E+12 5.55E+12 3.11E+12 1.70E+12 9.04E+11 4.70E+11
  90.00  3.487  4.12E+18 3.90E+17 6.54E+18 4.35E+15 1.28E+16 2.03E+16 2.66E+16 3.13E+16 3.42E+16 3.53E+16 3.49E+16 3.30E+16 3.02E+16 2.67E+16 2.29E+16 1.90E+16 1.53E+16 1.21E+16 9.21E+15 6.86E+15 4.97E+15 3.51E+15 2.42E+15 1.63E+15 1.07E+15 6.83E+14 4.27E+14 2.60E+14 1.55E+14 9.00E+13 5.11E+13 2.83E+13 1.53E+13
 100.00  3.675  6.64E+19 6.23E+18 1.07E+20 6.58E+16 1.93E+17 3.09E+17 4.06E+17 4.79E+17 5.27E+17 5.48E+17 5.46E+17 5.22E+17 4.82E+17 4.31E+17 3.74E+17 3.16E+17 2.59E+17 2.07E+17 1.61E+17 1.22E+17 9.03E+16 6.52E+16 4.60E+16 3.17E+16 2.13E+16 1.40E+16 8.98E+15 5.63E+15 3.45E+15 2.07E+15 1.21E+15 6.95E+14 3.90E+14
 110.00  3.855  9.39E+20 8.72E+19 1.54E+21 8.76E+17 2.58E+18 4.12E+18 5.44E+18 6.45E+18 7.13E+18 7.46E+18 7.48E+18 7.21E+18 6.73E+18 6.08E+18 5.33E+18 4.55E+18 3.78E+18 3.07E+18 2.42E+18 1.87E+18 1.41E+18 1.03E+18 7.44E+17 5.23E+17 3.59E+17 2.41E+17 1.59E+17 1.02E+17 6.41E+16 3.95E+16 2.38E+16 1.40E+16 8.09E+15
 120.00  4.026  1.18E+22 1.09E+21 1.96E+22 1.05E+19 3.08E+19 4.93E+19 6.52E+19 7.76E+19 8.61E+19 9.07E+19 9.14E+19 8.88E+19 8.35E+19 7.61E+19 6.74E+19 5.82E+19 4.89E+19 4.01E+19 3.21E+19 2.51E+19 1.92E+19 1.44E+19 1.05E+19 7.51E+18 5.26E+18 3.60E+18 2.42E+18 1.59E+18 1.02E+18 6.43E+17 3.96E+17 2.40E+17 1.42E+17
 130.00  4.191  1.34E+23 1.23E+22 2.26E+23 1.13E+20 3.33E+20 5.35E+20 7.08E+20 8.46E+20 9.43E+20 9.97E+20 1.01E+21 9.88E+20 9.35E+20 8.59E+20 7.68E+20 6.69E+20 5.68E+20 4.71E+20 3.82E+20 3.02E+20 2.34E+20 1.78E+20 1.32E+20 9.57E+19 6.81E+19 4.74E+19 3.24E+19 2.17E+19 1.42E+19 9.14E+18 5.76E+18 3.56E+18 2.15E+18
 140.00  4.349  1.40E+24 1.26E+23 2.37E+24 1.12E+21 3.31E+21 5.32E+21 7.06E+21 8.45E+21 9.45E+21 1.00E+22 1.02E+22 1.01E+22 9.57E+21 8.86E+21 7.98E+21 7.00E+21 6.00E+21 5.03E+21 4.11E+21 3.30E+21 2.58E+21 1.98E+21 1.49E+21 1.10E+21 7.92E+20 5.61E+20 3.89E+20 2.65E+20 1.77E+20 1.16E+20 7.42E+19 4.67E+19 2.89E+19
 150.00  4.501  1.34E+25 1.20E+24 2.30E+25 1.03E+22 3.04E+22 4.89E+22 6.50E+22 7.81E+22 8.76E+22 9.34E+22 9.55E+22 9.44E+22 9.04E+22 8.41E+22 7.63E+22 6.75E+22 5.83E+22 4.92E+22 4.07E+22 3.29E+22 2.61E+22 2.02E+22 1.54E+22 1.15E+22 8.39E+21 6.02E+21 4.24E+21 2.93E+21 1.98E+21 1.32E+21 8.61E+20 5.52E+20 3.47E+20
 160.00  4.649  1.20E+26 1.06E+25 2.07E+26 8.82E+22 2.60E+23 4.19E+23 5.59E+23 6.72E+23 7.56E+23 8.09E+23 8.31E+23 8.24E+23 7.93E+23 7.43E+23 6.78E+23 6.03E+23 5.25E+23 4.47E+23 3.73E+23 3.04E+23 2.43E+23 1.91E+23 1.47E+23 1.10E+23 8.18E+22 5.94E+22 4.23E+22 2.96E+22 2.04E+22 1.37E+22 9.10E+21 5.92E+21 3.79E+21
 170.00  4.792  1.00E+27 8.82E+25 1.74E+27 7.08E+23 2.09E+24 3.37E+24 4.50E+24 5.43E+24 6.12E+24 6.57E+24 6.77E+24 6.74E+24 6.52E+24 6.13E+24 5.63E+24 5.04E+24 4.42E+24 3.79E+24 3.18E+24 2.62E+24 2.11E+24 1.67E+24 1.30E+24 9.87E+23 7.38E+23 5.42E+23 3.91E+23 2.77E+23 1.93E+23 1.32E+23 8.86E+22 5.85E+22 3.79E+22
